application_number,request_for_proposal_document,rfp_identifier,rfp_upload_date,total_services_requested,certified_date_time
240000001,http://publicdata.usac.org/SL/Prd/Form470/349714/240000001/2024%20Statewide%20RFP%20470%202.pdf,true,2023-08-07T13:08:25.000,1,2023-07-03T12:16:56.000
240000002,http://publicdata.usac.org/SL/Prd/Form470/274594/240000002/RFP%20DMCS%20new%20campus%20Internet.pdf,true,2023-07-05T10:07:29.000,1,2023-07-05T10:47:27.000
240000005,,false,,1,2023-07-05T13:18:38.000
240000006,,false,,1,2023-07-05T15:39:24.000
240000008,http://publicdata.usac.org/SL/Prd/Form470/346438/240000008/RFP%20Armorel%20High%20School%20Wireless%20Rev012221a.pdf,true,2023-07-05T15:07:39.000,34,2023-07-05T15:49:37.000
240000011,http://publicdata.usac.org/SL/Prd/Form470/17021188/240000011/2024_OGCS_Cat1_QuestionAnswer_Addendum.pdf,true,2023-12-14T19:12:15.000,1,2023-11-27T12:32:29.000
240000014,,false,,1,2023-07-06T17:04:27.000
240000020,http://publicdata.usac.org/SL/Prd/Form470/400447/240000020/Exhibit%20E%202022.docx,true,2023-07-28T13:07:41.000,100,2023-07-28T13:07:39.000
240000022,,false,,4,2023-07-11T12:27:31.000
240000023,http://publicdata.usac.org/SL/Prd/Form470/365761/240000023/SOW%20006%20Cell%20Data%20Plan%20Bookmobiles%20FY%202024.pdf,true,2023-08-11T09:08:14.000,4,2023-08-11T09:25:12.000
240000024,http://publicdata.usac.org/SL/Prd/Form470/370531/240000024/FY24_AAW_ISP_Cat2_Equipment_FINAL.docx,true,2023-12-28T13:12:42.000,1,2023-12-28T13:29:40.000
240000025,http://publicdata.usac.org/SL/Prd/Form470/365761/240000025/RFP%20002%20Basic%20Internet%20Access.pdf,true,2023-08-01T10:08:41.000,2,2023-08-01T10:34:39.000
240000037,,false,,2,2023-07-14T12:06:46.000
240000041,,false,,1,2023-07-17T09:32:41.000
240000047,,false,,1,2023-07-17T11:08:11.000
240000052,http://publicdata.usac.org/SL/Prd/Form470/351414/240000052/Additional%20Information%20.pdf,true,2023-09-18T21:09:59.000,1,2023-09-18T21:18:57.000
240000054,http://publicdata.usac.org/SL/Prd/Form470/351438/240000054/Additional%20Information.pdf,true,2023-12-19T20:12:16.000,2,2023-12-19T20:52:15.000
240000055,,false,,1,2023-12-29T10:06:00.000
240000063,,false,,1,2023-07-19T10:57:37.000
240000065,,false,,1,2023-07-19T11:17:51.000
240000067,,false,,2,2023-09-12T20:19:40.000
240000068,,false,,3,2023-07-19T12:20:24.000
240000073,http://publicdata.usac.org/SL/Prd/Form470/347701/240000073/Aledo%20ISD%20C1%20RFP%202425%20INT.pdf,true,2023-08-04T17:08:03.000,1,2023-08-04T17:12:02.000
240000074,,,,1,2023-10-30T16:27:54.000
240000078,,false,,20,2023-08-02T17:51:31.000
240000080,,false,,1,2023-07-21T11:13:26.000
240000081,,false,,1,2023-07-21T14:17:26.000
240000082,http://publicdata.usac.org/SL/Prd/Form470/352806/240000082/BID%20RESPONSE%20FORM_E23_Erie%202%20BOCES_2.docx,true,2023-07-21T14:07:23.000,2,2023-07-21T14:47:21.000
240000085,,false,,1,2023-07-24T13:01:25.000
240000088,,false,,38,2023-11-12T09:45:56.000
240000096,,false,,1,2023-08-30T13:14:39.000
240000099,,false,,1,2023-09-26T10:33:57.000
240000100,,false,,1,2023-07-26T16:34:27.000
240000105,http://publicdata.usac.org/SL/Prd/Form470/398040/240000105/Addendum%20to%20470.docx,true,2023-09-15T11:09:36.000,1,2023-08-03T17:18:52.000
240000109,http://publicdata.usac.org/SL/Prd/Form470/329194/240000109/REQUEST%20FOR%20PROPOSAl%20DF%20Downtown%20BHS%20W27.docx,true,2023-07-27T17:07:57.000,2,2023-07-27T17:04:55.000
240000110,http://publicdata.usac.org/SL/Prd/Form470/17015181/240000110/St%20Edward%20C1%20RFP%20FY2024.pdf,true,2023-07-28T08:07:11.000,1,2023-07-28T08:33:09.000
240000112,http://publicdata.usac.org/SL/Prd/Form470/372080/240000112/Good%20Shepherd%20C1%20RFP%20FY2024.pdf,true,2023-07-30T16:07:16.000,1,2023-07-30T16:03:15.000
