unique_id,service_request_id,service_category,service_type
18bc269d-4d6d-4c41-829b-6936562253be,1,Category 1,Data Transmission and/or Internet Access
2a58f48c-97d1-4b5e-af58-f68ce63f1871,2,Category 1,Data Transmission and/or Internet Access
437188af-8eb7-49db-b076-77301b83b920,2,Category 1,Data Transmission and/or Internet Access
84524618-ad5e-4358-aa52-aabd7cb98daf,1,Category 2,Internal Connections
c52957c6-7b68-4bcd-b52f-8826ad074734,2,Category 2,Basic Maintenance of Internal Connections
099d6146-cded-4586-ab8a-79fe1137a087,2,Category 2,Basic Maintenance of Internal Connections
239b24e8-240f-45f1-bce8-6d4d18d72769,2,Category 2,Basic Maintenance of Internal Connections
3d01350a-815c-40ed-b022-7bfa2bd4bfb9,3,Category 2,Internal Connections
8482d082-b255-4d42-91aa-ad127bd46633,3,Category 2,Internal Connections
898202d1-a5a7-4c92-aa4c-52affc2daf83,3,Category 2,Internal Connections
ddbe2327-cf45-4652-90e5-1a0d5c7c4fe5,4,Category 2,Basic Maintenance of Internal Connections
f0c0519e-16b5-4bf4-b613-d08cb5d7be0e,4,Category 2,Basic Maintenance of Internal Connections
e8af6294-f2b2-4b60-a999-9bb0821dc2fe,4,Category 2,Basic Maintenance of Internal Connections
f0c73b6c-1ec3-4e35-b558-4c54789f1597,5,Category 2,Internal Connections
253661b8-f5c4-44c1-b949-a00c156c43bb,5,Category 2,Internal Connections
6c477ae4-7003-4f77-a05d-c710c44eba1c,5,Category 2,Internal Connections
656abc8c-e1d5-44f6-b898-33fd4b9cde65,6,Category 2,Basic Maintenance of Internal Connections
3e746ae5-ddce-4323-b857-3800cabab341,6,Category 2,Basic Maintenance of Internal Connections
0dae4b09-987e-491d-b38e-2fd7acfc858c,6,Category 2,Basic Maintenance of Internal Connections
b60b8f42-081e-4504-9ae7-b048b9b9cd16,7,Category 2,Internal Connections
9da3a118-826e-4213-b11f-a2e989e985b5,7,Category 2,Internal Connections
454decb9-0cb9-4dcd-813e-2b00ae6ede96,7,Category 2,Internal Connections
93be19ad-d22e-4b62-8451-2705a2ed30df,3,Category 1,Data Transmission and/or Internet Access
92ef7c8d-db0b-4394-8e65-ebd1959479c5,8,Category 2,Basic Maintenance of Internal Connections
4bf86223-3534-46f5-a60f-a5d869ef7396,8,Category 2,Basic Maintenance of Internal Connections
a790d099-0913-4905-9086-77365f3ceab5,8,Category 2,Basic Maintenance of Internal Connections
c89d18e3-8cd0-4ae7-a8bc-aeba397d90b8,9,Category 2,Internal Connections
6c260bad-6078-4ef9-a367-3ebff1d73a34,9,Category 2,Internal Connections
97646168-4424-45df-9da8-b2d7247bd506,9,Category 2,Internal Connections
338a0678-7996-4197-bd24-268fccb25517,10,Category 2,Basic Maintenance of Internal Connections
47f8bf6a-ac6a-4938-ba63-94a2382ab02c,10,Category 2,Basic Maintenance of Internal Connections
605f8cbc-87e6-40e3-8f5f-e79ec38911ba,10,Category 2,Basic Maintenance of Internal Connections
6e665bb6-1520-45d4-87d6-7f381d9e8868,11,Category 2,Internal Connections
14090184-289a-4ad8-9995-05d6d7bdae8b,11,Category 2,Internal Connections
95d83d78-94f8-4372-a635-047ee2fe3ead,11,Category 2,Internal Connections
0c9823db-bcd3-42bf-a245-3790e11c6ba1,12,Category 2,Basic Maintenance of Internal Connections
da478570-6f5c-49ff-8f8b-3e7b38149c3e,12,Category 2,Basic Maintenance of Internal Connections
5fb3995f-590b-4e96-b00a-a685dc576b9c,12,Category 2,Basic Maintenance of Internal Connections
05ecd5e8-e45c-4877-892c-84a7d1c18f70,13,Category 2,Internal Connections
25c380bd-b0db-4b03-99f1-7fb12069d764,13,Category 2,Internal Connections
4e557ba1-dfae-488f-8167-b99102f594dd,13,Category 2,Internal Connections
b4851d92-f35a-40a8-ae74-7c42dea9a19a,14,Category 2,Basic Maintenance of Internal Connections
ad2344c6-4132-4fe3-9f97-7ddd9b7477c3,14,Category 2,Basic Maintenance of Internal Connections
965057f3-da0f-4811-a969-0ebcfee3cef1,14,Category 2,Basic Maintenance of Internal Connections
bde40582-743a-47a0-9892-142d3f374e35,15,Category 2,Internal Connections
8fb85e48-ce90-4a2c-b911-4da16e126783,1,Category 1,Data Transmission and/or Internet Access
8a5ff95b-d5ca-46e3-bf01-a3d5507fa24a,17,Category 2,Internal Connections
34c98260-e40a-4f42-bb96-16729404d431,17,Category 2,Internal Connections
dc0fb397-b8bc-4505-a7a3-358b9a7883d2,17,Category 2,Internal Connections
22ea9c4f-e18a-4d1d-a486-62a1bffe1c51,1,Category 1,Data Transmission and/or Internet Access
b68842fb-5057-4c05-b07f-d1f32087b023,15,Category 2,Internal Connections
c5902660-ae31-44e5-8231-0697e82f57c7,15,Category 2,Internal Connections
c72f171c-ac2d-425c-9e28-c9b1a78044d5,16,Category 2,Basic Maintenance of Internal Connections
c04ead8e-646e-4710-b2be-0f083bc468aa,16,Category 2,Basic Maintenance of Internal Connections
6b438bd5-2ef0-46e6-84a3-447587e4d5ed,16,Category 2,Basic Maintenance of Internal Connections
f14de56e-b3f2-4fc2-bad1-030ebcb54bd4,1,Category 1,Data Transmission and/or Internet Access
be4c398c-2436-456a-94b3-e17794ffa7b3,1,Category 2,Internal Connections
56b69330-ce6d-42ed-95c0-f50fdd7e72cd,2,Category 2,Basic Maintenance of Internal Connections
e83549eb-bad0-465e-a3cb-44241f099745,3,Category 2,Internal Connections
5606239b-c821-4763-b258-8504d8a42119,4,Category 2,Basic Maintenance of Internal Connections
caf222f0-87f9-4b28-9c03-02718cf61df9,5,Category 2,Internal Connections
56d3870f-4659-44e7-8bc1-ea5af250380c,6,Category 2,Basic Maintenance of Internal Connections
2a9bcbe2-7b2f-4331-93af-f9932d95c254,7,Category 2,Internal Connections
5f424d3b-2633-46b2-a0fe-9b55b3088a86,8,Category 2,Basic Maintenance of Internal Connections
ace7fb7d-7ffc-4077-9bb0-ec4e3f614826,22,Category 2,Basic Maintenance of Internal Connections
65758255-c831-43de-8ab3-77466b722062,22,Category 2,Basic Maintenance of Internal Connections
be3a9ca8-aecb-4e61-b928-98c0392e76cd,22,Category 2,Basic Maintenance of Internal Connections
4e29acd1-a5bd-44ac-a6df-8c1d21e31b2d,23,Category 2,Internal Connections
18836860-8a19-4766-9ee6-4efa86010c33,23,Category 2,Internal Connections
1502da0f-1571-4b98-a36e-f05244247ff2,23,Category 2,Internal Connections
b6c60adf-1b6b-4843-9a2d-75df77190056,24,Category 2,Basic Maintenance of Internal Connections
53476f9a-03f7-4208-a838-b3510db37ac8,24,Category 2,Basic Maintenance of Internal Connections
33b59a63-624b-43cb-95df-1ffc703442d8,24,Category 2,Basic Maintenance of Internal Connections
c2d937df-5bb0-4e8a-bc66-7c9a9420b624,1,Category 1,Data Transmission and/or Internet Access
2267e987-b76f-4c97-9271-d35aea91c73d,1,Category 1,Data Transmission and/or Internet Access
d5709f8c-2807-4976-b31f-1874c8a4bb52,1,Category 1,Data Transmission and/or Internet Access
bd1dbdfa-33d2-430d-a55f-a7eb416bde9f,25,Category 2,Internal Connections
e2233d90-3e62-4f98-9571-680b3f268ee8,25,Category 2,Internal Connections
5a532664-6b32-4e02-a6c7-8bb6f47eea72,25,Category 2,Internal Connections
c432545b-0ce9-40f3-b6d2-d1de74fc0994,26,Category 2,Basic Maintenance of Internal Connections
3cbb4852-1dbc-4573-a8b9-9610e798f01a,26,Category 2,Basic Maintenance of Internal Connections
8369b3f8-03f0-4962-900c-951f25d0e5cf,26,Category 2,Basic Maintenance of Internal Connections
6215db75-2f68-4032-b0ad-ab22eb8f99a2,27,Category 2,Internal Connections
38841aea-c1ce-4cab-8977-c2296f6f8580,27,Category 2,Internal Connections
f8223d7a-d9be-40c8-9d3e-331ed64252d5,27,Category 2,Internal Connections
738c0b09-6dfb-4609-b697-a8a8c16924b8,28,Category 2,Basic Maintenance of Internal Connections
89875d08-a843-4387-867f-3dcd05794c76,28,Category 2,Basic Maintenance of Internal Connections
a35256f1-c87c-4f05-aebb-44e70c0d4340,28,Category 2,Basic Maintenance of Internal Connections
