unique_id,service_request_id,service_category,service_type
35ee7b5c-4a90-4795-8371-eb340679e96e,3,Category 2,Basic Maintenance of Internal Connections
24898037-65c5-45ea-aee7-c166df0f5e2f,3,Category 2,Basic Maintenance of Internal Connections
beae132f-ca9a-4982-b1a5-0bd318fda3ca,4,Category 2,Internal Connections
e38f278c-4c57-444f-bfaa-4af230c5a404,2,Category 1,Data Transmission and/or Internet Access
feb8c50f-3252-457d-980e-05c54a73ce28,4,Category 2,Internal Connections
eccf5fd2-4a35-4f6f-b137-1fd2ad0be24a,5,Category 2,Basic Maintenance of Internal Connections
c3dc681a-7c02-444e-a2ee-03577bcdb150,5,Category 2,Basic Maintenance of Internal Connections
6f20f516-e98e-4683-a140-76ca6ec94536,1,Category 2,Internal Connections
df7eb9da-93eb-4ae2-9727-28fcc0055fee,3,Category 2,Internal Connections
f2c37141-22a4-4dbd-85a0-38de07d07b03,1,Category 2,Internal Connections
ed8db300-201d-4c6b-a2dc-4e9ac28b593a,2,Category 2,Basic Maintenance of Internal Connections
fef66e4a-ea33-42c7-a44d-08c5e2491fec,2,Category 2,Basic Maintenance of Internal Connections
7c106c4e-18fe-4334-983d-156186313bac,3,Category 2,Internal Connections
8984d3cb-3dfe-4396-a244-3529db180a5e,4,Category 2,Basic Maintenance of Internal Connections
ffad893c-6ed4-4499-a8db-c58847371950,3,Category 2,Internal Connections
9c65b68d-9e43-43e0-97af-8de47b63c7cf,4,Category 2,Internal Connections
77c2bc2b-bda5-44a1-ab4b-eb4d1e626805,4,Category 2,Internal Connections
29937473-2526-494d-aad0-113acee6101e,5,Category 2,Managed Internal Broadband Services
b17d15a6-6623-48df-b5c3-6b00676d7c5d,1,Category 2,Internal Connections
548e18c3-b0bb-4f57-9294-4aef4699f1f5,5,Category 2,Managed Internal Broadband Services
435ca7f9-26ff-4ac1-8978-0c3c9bbf27aa,1,Category 2,Internal Connections
4732820e-2389-4510-96ea-0ab9b708b4d7,1,Category 2,Internal Connections
38a01d7b-5220-4f8a-9df7-d72bd44ec010,2,Category 2,Basic Maintenance of Internal Connections
704dafb7-4b3a-4941-afab-8fe8c06e3d71,1,Category 1,Data Transmission and/or Internet Access
7941d427-573e-4147-843a-2e071112f32a,2,Category 2,Basic Maintenance of Internal Connections
96ebc7e1-847c-4b97-b733-a24461856549,3,Category 2,Managed Internal Broadband Services
f72f2145-6463-4422-9b6f-99c0b3e1ef6d,3,Category 2,Managed Internal Broadband Services
7fc3dbd5-2a1e-4bb0-977e-f17a2a7b75fd,1,Category 1,Data Transmission and/or Internet Access
93b23ef8-341f-41ab-bdc4-1d3235aad2ee,1,Category 1,Data Transmission and/or Internet Access
f2512185-1ccb-4e13-bfb0-657efa99c5a7,1,Category 2,Basic Maintenance of Internal Connections
a92cbbab-ab87-41b8-a461-8236c6bfde16,1,Category 2,Internal Connections
e26a7d90-4704-4445-8ffe-ff6a0eb8822f,1,Category 2,Internal Connections
e3da723c-d01a-45f9-b10b-895d7bee242e,2,Category 2,Internal Connections
07a00249-61f8-49ed-91eb-e3173dae4a56,2,Category 2,Internal Connections
4d5b15e0-7b73-4700-b638-c90adae020c4,3,Category 2,Internal Connections
