unique_id,service_request_id,service_category,service_type
959ff7a9-0865-44fa-bc38-0bf964c52559,10,Category 2,Basic Maintenance of Internal Connections
c1a5e9cf-a0e7-462d-82dc-a0ba55548725,11,Category 2,Internal Connections
21765fd4-be3d-499e-8c5f-d0d3fb7a629f,12,Category 2,Basic Maintenance of Internal Connections
80b9481f-95d4-4fe6-a877-3dee89d1f252,13,Category 2,Internal Connections
c2800aac-d95c-43d2-93fa-1dbbd5515ea5,14,Category 2,Basic Maintenance of Internal Connections
bcef263e-0681-4c05-bf10-e31f5c5f23e8,15,Category 2,Internal Connections
fedef7ce-0268-4624-ae27-6d28c9729bee,16,Category 2,Basic Maintenance of Internal Connections
774d9df7-f3e9-456d-a804-6c1a475cb29b,,,
3dfbe8be-5973-4aa5-ba78-97bcf3b61c87,1,Category 1,Data Transmission and/or Internet Access
5cde0e3c-1fdd-42e8-bfd3-dd345c49199c,1,Category 1,Data Transmission and/or Internet Access
a158c306-e906-4253-bc17-d4f6a298bb83,1,Category 1,Data Transmission and/or Internet Access
a3781206-bfc5-43bc-9366-1ccf74b5ab41,1,Category 1,Data Transmission and/or Internet Access
d8bf2172-50be-4288-a044-184d3c818159,1,Category 1,Data Transmission and/or Internet Access
151af280-5b18-49ed-96bb-e6ee9afc24b4,1,Category 2,Internal Connections
0c94477f-4d98-4500-bc52-fe71ac27952d,2,Category 2,Basic Maintenance of Internal Connections
c1f4e6ac-a40b-4692-a267-834f648829b4,3,Category 2,Internal Connections
08018f93-4bc1-43ef-b445-11d53009df3b,4,Category 2,Basic Maintenance of Internal Connections
84c5e3f6-544b-4280-9137-aec86c02816b,5,Category 2,Internal Connections
d495dae1-5917-4360-954e-fe4f2c1662bd,6,Category 2,Basic Maintenance of Internal Connections
6adc87d4-b8a3-4823-a6a4-5b7be7f5ff08,7,Category 2,Internal Connections
0b7f6bb3-a95a-427e-9217-546fb00d70c2,8,Category 2,Basic Maintenance of Internal Connections
8267f308-7035-4fab-b8ff-02dae90d63db,9,Category 2,Internal Connections
71825435-922b-4233-ae2e-a46534c51a20,10,Category 2,Basic Maintenance of Internal Connections
471088df-583f-471c-a105-642103575975,11,Category 2,Internal Connections
fa3a0eba-a026-48b5-81d6-2a49c97ea9e7,12,Category 2,Basic Maintenance of Internal Connections
70fb304b-685f-41fb-97f5-ac20e4008fb2,1,Category 1,Data Transmission and/or Internet Access
cac73922-c1fd-4882-88b7-42f5e09d12b1,1,Category 1,Data Transmission and/or Internet Access
78eed1b6-9651-4798-96f9-006293c8bf95,1,Category 1,Data Transmission and/or Internet Access
061c5c3c-39ff-4260-8267-9c4391b9258c,2,Category 1,Data Transmission and/or Internet Access
0a429110-e885-4c6a-987d-1c6c95d1c23c,2,Category 1,Data Transmission and/or Internet Access
149ee98d-d50e-40b3-80fe-ffa3d5e79aff,2,Category 1,Data Transmission and/or Internet Access
4a4e84c5-ecad-4904-8280-dc53c6eaebbc,1,Category 1,Data Transmission and/or Internet Access
9e15d1c0-10c4-4b49-8dce-1cef802e3208,4,Category 2,Internal Connections
d02a80ee-4c26-42b2-a617-363fe5c7df45,1,Category 1,Data Transmission and/or Internet Access
731207e6-1bc7-4668-9e0e-f0aa59ea9f6a,1,Category 1,Data Transmission and/or Internet Access
1580c3c1-fc78-4db2-ac99-146549672a03,1,Category 1,Data Transmission and/or Internet Access
69fd6cf5-1b5a-4a37-b463-bee95885b423,1,Category 1,Data Transmission and/or Internet Access
6d6c3b65-cf97-43c3-8f4c-a9ed95d94312,5,Category 2,Internal Connections
59cab535-47f3-48dc-bc33-92ffe33fd641,2,Category 1,Data Transmission and/or Internet Access
1d43b7b4-bada-4fb3-a41c-91e6262a995c,2,Category 1,Data Transmission and/or Internet Access
8ef44426-56e0-4bd7-bcc7-82bf27a941f4,2,Category 1,Data Transmission and/or Internet Access
b63083d8-185d-4d4f-8a28-14182cca29f1,2,Category 1,Data Transmission and/or Internet Access
fc3c3244-d924-4204-9203-76080eef9d9e,6,Category 2,Managed Internal Broadband Services
02b765c0-26c9-4517-b121-0f3f10a21602,2,Category 1,Data Transmission and/or Internet Access
229f2f5e-b0da-44a3-993b-610792ecffb8,3,Category 1,Data Transmission and/or Internet Access
97cd2520-3d89-430f-941e-db49a775e4fa,3,Category 1,Data Transmission and/or Internet Access
84180f75-3544-4421-a0b3-7245464b3963,3,Category 1,Data Transmission and/or Internet Access
e14bd280-c4c5-491a-952d-c44dfe832f1e,1,Category 2,Internal Connections
d5e89dd9-f22f-4fa8-bbfe-1ff8ec7b2117,3,Category 1,Data Transmission and/or Internet Access
ffdb4a26-0f09-41f1-b827-f35bacb6468c,3,Category 1,Data Transmission and/or Internet Access
1a8781d3-9f2c-45b6-9ca5-710a16209ada,1,Category 1,Data Transmission and/or Internet Access
c4ddc279-48aa-4353-a6f4-fdec35abb6d3,2,Category 2,Internal Connections
b14e19da-313d-4127-a2ca-af522ab799b7,3,Category 2,Internal Connections
911a9e92-1cbf-4b4b-ac44-97345bb8345e,1,Category 1,Data Transmission and/or Internet Access
2963336d-52bc-494e-9671-4b0aab7d4669,1,Category 1,Data Transmission and/or Internet Access
01e68a88-cee4-4485-8022-4408cb6f3d1d,,,
db382eaf-f807-4d18-9179-0dbb865ceb8b,1,Category 1,Data Transmission and/or Internet Access
e2324d76-c703-4bc6-9a19-a5edc71a0f83,1,Category 1,Data Transmission and/or Internet Access
23c67b38-b12f-4fc5-8c99-eda8b56a3b7d,2,Category 1,Data Transmission and/or Internet Access
b79abbe5-7ca3-42bc-9cd7-2a6a017787ba,2,Category 2,Basic Maintenance of Internal Connections
b35d55ff-83e6-4092-aaf5-bf16f8a35062,3,Category 2,Internal Connections
f7c139e7-f89f-4352-8ff8-dfc8faae6ffc,4,Category 2,Basic Maintenance of Internal Connections
a8249bdd-e737-4040-bf3f-21085e7ef829,5,Category 2,Internal Connections
7723f6a0-04a9-4cb2-a0d2-4f7a598904df,6,Category 2,Basic Maintenance of Internal Connections
96c10b22-5d45-4c8f-b1b6-18a6a0f013e3,7,Category 2,Internal Connections
